JIT compiled.

============================================================================
PAIR: EUR_USD  OOS=409d
 reg_N   mode  ZW/atr tgt_f   ta  wick |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
    80  fixed   30.0p   1.0    8  0.15 |    345.6   -226.7   1730  95.1% 79.6%  4.9%    2/3    2/3   0.160 | 2/2 p=0.16
    80  fixed   50.0p   1.0    8  0.15 |     42.7    -95.1    768  98.8% 88.3%  3.4%    2/3    2/3   0.375 | 2/2 p=0.38
    80  fixed   30.0p   1.0    8  0.25 |   -366.7  -1859.5   1656  95.8% 80.0%  4.5%    2/3    1/3   0.515 | 2/1 p=0.52
    80  fixed   50.0p   1.0    8  0.25 |     48.2    -96.7    728  98.9% 88.6%  3.3%    2/3    2/3   0.370 | 2/2 p=0.37
    80  fixed   30.0p   1.0   10  0.00 |    450.3    115.3   1582  94.1% 74.7%  5.1%    2/3    3/3   0.010 | 2/3 p=0.01
    80  fixed   50.0p   1.0   10  0.00 |    105.8     59.3    729  98.7% 85.5%  3.6%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   30.0p   1.0   10  0.15 |   -640.9  -2236.0   1528  94.9% 76.1%  5.2%    1/3    2/3   0.695 | 1/2 p=0.69
    80  fixed   50.0p   1.0   10  0.15 |    110.9     55.9    681  98.9% 85.8%  3.5%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   1.0   10  0.25 |  -2000.6  -4140.8   1472  95.8% 76.6%  5.0%    2/3    0/3   0.880 | 2/0 p=0.88
    80  fixed   50.0p   1.0   10  0.25 |    117.2     64.5    640  99.0% 85.9%  3.6%    2/3    3/3   0.000 | 2/3 p=0.00
    80    atr 2.0×ATR   0.5    6  0.00 | -3904636763809206784.0 -6661573925429909504.0  12317  38.1% 65.4%  4.7%    2/3    1/3   1.000 | 2/1 p=1.00
    80    atr 3.0×ATR   0.5    6  0.00 | -1644830248827239680.0 -3965646858401104896.0   6775  66.5% 70.4%  3.8%    3/3    1/3   0.885 | 3/1 p=0.89
    80    atr 4.0×ATR   0.5    6  0.00 | -112062831736578288.0 -1119314704294533888.0   4509  82.1% 74.5%  3.6%    2/3    1/3   0.585 | 2/1 p=0.58
    80    atr 5.0×ATR   0.5    6  0.00 | -644871359739980416.0 -2268541247006081536.0   3372  89.3% 77.8%  3.6%    2/3    1/3   0.755 | 2/1 p=0.76
    80    atr 2.0×ATR   0.5    6  0.15 | -4221513918622585856.0 -6966968619193238528.0  11162  60.2% 65.1%  4.6%    1/3    0/3   1.000 | 1/0 p=1.00
    80    atr 3.0×ATR   0.5    6  0.15 | -1376639057128535296.0 -2755928845732751872.0   6149  76.4% 70.4%  3.9%    2/3    0/3   0.905 | 2/0 p=0.91
    80    atr 4.0×ATR   0.5    6  0.15 | -1203087804724587008.0 -2830398146201843200.0   4173  86.2% 74.9%  3.8%    2/3    0/3   0.905 | 2/0 p=0.91
    80    atr 5.0×ATR   0.5    6  0.15 | 361959993399690752.0 -861235640814664320.0   3128  91.4% 77.6%  3.5%    2/3    3/3   0.290 | 2/3 p=0.29
    80    atr 2.0×ATR   0.5    6  0.25 | -4945103569811141632.0 -7746508442843955200.0  10238  69.8% 65.2%  4.9%    1/3    0/3   1.000 | 1/0 p=1.00
    80    atr 3.0×ATR   0.5    6  0.25 | 45523331760072760.0 -1632818810189096704.0   5789  81.0% 70.7%  4.1%    2/3    2/3   0.490 | 2/2 p=0.49
    80    atr 4.0×ATR   0.5    6  0.25 | -1236929120286536448.0 -2850664031214818304.0   3957  88.2% 74.3%  3.9%    2/3    0/3   0.875 | 2/0 p=0.88
    80    atr 5.0×ATR   0.5    6  0.25 | -457822169429761088.0 -1713423035627010816.0   2924  92.6% 76.8%  3.8%    2/3    1/3   0.695 | 2/1 p=0.69
    80    atr 2.0×ATR   0.5    8  0.00 | -3540081451799401984.0 -6166021496270027776.0  11512  38.6% 63.7%  4.9%    2/3    0/3   0.990 | 2/0 p=0.99
    80    atr 3.0×ATR   0.5    8  0.00 | -2696128328366743040.0 -4458955868394752512.0   5838  67.2% 66.4%  4.3%    3/3    1/3   1.000 | 3/1 p=1.00
    80    atr 4.0×ATR   0.5    8  0.00 | -990829871100589440.0 -2702662990873304064.0   3754  81.9% 70.0%  4.2%    3/3    1/3   0.855 | 3/1 p=0.85
    80    atr 5.0×ATR   0.5    8  0.00 | -43053371201513608.0 -1235526945142753280.0   2742  89.5% 73.6%  4.5%    2/3    1/3   0.525 | 2/1 p=0.53
    80    atr 2.0×ATR   0.5    8  0.15 | -3998032088770438656.0 -6421445733848387584.0  10595  59.3% 63.3%  4.9%    1/3    0/3   1.000 | 1/0 p=1.00
    80    atr 3.0×ATR   0.5    8  0.15 | -1117259340461926016.0 -2692321570753199104.0   5361  75.8% 65.9%  4.6%    2/3    1/3   0.850 | 2/1 p=0.85
    80    atr 4.0×ATR   0.5    8  0.15 | -539163552124318144.0 -1844735571155293952.0   3473  85.7% 69.8%  4.3%    3/3    0/3   0.765 | 3/0 p=0.77
    80    atr 5.0×ATR   0.5    8  0.15 | 749058411173739008.0 -325971220912501888.0   2620  91.3% 72.7%  4.2%    2/3    2/3   0.090 | 2/2 p=0.09
    80    atr 2.0×ATR   0.5    8  0.25 | -4798137944785712128.0 -7612308279993454592.0   9779  68.9% 63.7%  5.1%    1/3    0/3   1.000 | 1/0 p=1.00
    80    atr 3.0×ATR   0.5    8  0.25 | 225522060030989792.0 -1098145993186995584.0   5077  80.6% 66.3%  4.6%    2/3    2/3   0.440 | 2/2 p=0.44
    80    atr 4.0×ATR   0.5    8  0.25 | -517229533340063808.0 -1910506390347897088.0   3373  88.0% 69.7%  4.3%    2/3    0/3   0.755 | 2/0 p=0.76
    80    atr 5.0×ATR   0.5    8  0.25 | 23568938345452560.0 -1075452265661546880.0   2527  92.5% 72.9%  4.4%    2/3    1/3   0.450 | 2/1 p=0.45
    80    atr 2.0×ATR   0.5   10  0.00 | -4590103525940942848.0 -7403074136416102400.0  11108  39.4% 62.7%  5.1%    2/3    0/3   1.000 | 2/0 p=1.00
    80    atr 3.0×ATR   0.5   10  0.00 | -1972547669516907776.0 -4027347948569575936.0   5430  67.7% 64.3%  4.4%    2/3    0/3   0.965 | 2/0 p=0.96
    80    atr 4.0×ATR   0.5   10  0.00 | -1110978777392732544.0 -2547129484446004224.0   3370  81.8% 67.1%  4.7%    2/3    1/3   0.875 | 2/1 p=0.88
    80    atr 5.0×ATR   0.5   10  0.00 | -221425404688380192.0 -1609047749253835776.0   2430  89.4% 70.5%  4.9%    1/3    2/3   0.580 | 1/2 p=0.58
    80    atr 2.0×ATR   0.5   10  0.15 | -4431665946471482880.0 -7015516311034542080.0  10408  58.6% 62.9%  5.0%    1/3    0/3   1.000 | 1/0 p=1.00
    80    atr 3.0×ATR   0.5   10  0.15 | -823585322484862848.0 -2291287089911194624.0   4986  75.5% 64.1%  4.8%    2/3    1/3   0.820 | 2/1 p=0.82
    80    atr 4.0×ATR   0.5   10  0.15 | -923553970610125312.0 -2320806479414443008.0   3170  85.1% 67.2%  4.6%    2/3    0/3   0.860 | 2/0 p=0.86
    80    atr 5.0×ATR   0.5   10  0.15 | 488583530374022016.0 -543141197024609408.0   2331  91.1% 70.4%  4.2%    2/3    2/3   0.220 | 2/2 p=0.22
    80    atr 2.0×ATR   0.5   10  0.25 | -4610456270722697216.0 -7448931922703136768.0   9594  68.4% 63.0%  5.2%    1/3    0/3   1.000 | 1/0 p=1.00
    80    atr 3.0×ATR   0.5   10  0.25 | -213710278832292672.0 -1814689088213135360.0   4758  80.1% 64.5%  5.0%    2/3    2/3   0.560 | 2/2 p=0.56
    80    atr 4.0×ATR   0.5   10  0.25 | -19882919506952264.0 -1362822395447260160.0   3068  87.7% 67.6%  4.5%    2/3    2/3   0.510 | 2/2 p=0.51
    80    atr 5.0×ATR   0.5   10  0.25 | -191657335441146688.0 -1297345390979294976.0   2255  92.3% 70.2%  4.3%    2/3    1/3   0.590 | 2/1 p=0.59
    80    atr 2.0×ATR   0.7    6  0.00 | -3420178501531136512.0 -5852869782204806144.0   9395  35.8% 63.2%  6.4%    2/3    1/3   0.985 | 2/1 p=0.98
    80    atr 3.0×ATR   0.7    6  0.00 | -526007879736734528.0 -2570373649342049280.0   5427  66.5% 70.3%  5.0%    0/3    1/3   0.705 | 0/1 p=0.70
    80    atr 4.0×ATR   0.7    6  0.00 | 1545113530265550336.0 606084759996246784.0   3856  81.9% 75.3%  3.8%    2/3    3/3   0.000 | 2/3 p=0.00
    80    atr 5.0×ATR   0.7    6  0.00 | 372096243829967744.0 -941132717328082048.0   2838  89.3% 77.9%  3.3%    2/3    1/3   0.315 | 2/1 p=0.32
    80    atr 2.0×ATR   0.7    6  0.15 | -1350903092700374784.0 -3837938075705334784.0   8618  59.8% 62.8%  6.4%    1/3    0/3   0.835 | 1/0 p=0.83
    80    atr 3.0×ATR   0.7    6  0.15 | -1382711193446651136.0 -3101457343172807168.0   5098  76.6% 70.4%  4.7%    1/3    1/3   0.920 | 1/1 p=0.92
    80    atr 4.0×ATR   0.7    6  0.15 | 1032809906019788416.0 -302454061341808512.0   3626  86.2% 75.8%  4.0%    2/3    3/3   0.070 | 2/3 p=0.07
    80    atr 5.0×ATR   0.7    6  0.15 | -486796308631856512.0 -1892756000774038016.0   2707  91.4% 77.9%  3.4%    2/3    1/3   0.755 | 2/1 p=0.76
    80    atr 2.0×ATR   0.7    6  0.25 | -2209404743131065600.0 -4328074711910435328.0   7957  69.7% 62.3%  6.6%    0/3    0/3   0.985 | 0/0 p=0.98
    80    atr 3.0×ATR   0.7    6  0.25 | -491963818016314624.0 -2335801622540766208.0   4848  81.2% 70.6%  4.7%    2/3    2/3   0.700 | 2/2 p=0.70
    80    atr 4.0×ATR   0.7    6  0.25 | 928592582746617856.0 -377431196206149120.0   3433  88.2% 75.7%  4.0%    2/3    3/3   0.140 | 2/3 p=0.14
    80    atr 5.0×ATR   0.7    6  0.25 | -733656999315134464.0 -2122792996578894592.0   2519  92.5% 77.4%  3.7%    3/3    1/3   0.855 | 3/1 p=0.85
    80    atr 2.0×ATR   0.7    8  0.00 | -3242456595299760640.0 -5559007234126387200.0   8160  35.4% 59.2%  7.0%    2/3    0/3   1.000 | 2/0 p=1.00
    80    atr 3.0×ATR   0.7    8  0.00 | 152925458913368736.0 -1536507308912547584.0   4460  65.8% 64.8%  6.3%    2/3    1/3   0.450 | 2/1 p=0.45
    80    atr 4.0×ATR   0.7    8  0.00 | 915174437931815040.0 -33028115241467532.0   3084  82.2% 70.5%  4.7%    2/3    2/3   0.055 | 2/2 p=0.06
    80    atr 5.0×ATR   0.7    8  0.00 | 622538575318442880.0 -536095088046993152.0   2365  89.8% 73.7%  4.3%    3/3    3/3   0.220 | 3/3 p=0.22
    80    atr 2.0×ATR   0.7    8  0.15 | -1419849290811766272.0 -3451679598198209536.0   7687  58.4% 59.0%  6.9%    2/3    1/3   0.880 | 2/1 p=0.88
    80    atr 3.0×ATR   0.7    8  0.15 | 453390068158401088.0 -1060190038306347392.0   4161  75.4% 64.0%  5.7%    1/3    1/3   0.295 | 1/1 p=0.29
    80    atr 4.0×ATR   0.7    8  0.15 | 428470890290045504.0 -667591115999730560.0   2971  85.8% 71.0%  4.6%    2/3    2/3   0.255 | 2/2 p=0.26
    80    atr 5.0×ATR   0.7    8  0.15 | 182298347276321024.0 -932453077625575040.0   2327  91.3% 74.3%  3.9%    3/3    2/3   0.385 | 3/2 p=0.39
    80    atr 2.0×ATR   0.7    8  0.25 | -3103701061732144128.0 -5133990869247788032.0   7190  68.5% 58.5%  7.0%    2/3    0/3   0.995 | 2/0 p=0.99
    80    atr 3.0×ATR   0.7    8  0.25 | 710721027246266368.0 -753463026522342272.0   4059  80.6% 64.9%  5.8%    2/3    1/3   0.275 | 2/1 p=0.28
    80    atr 4.0×ATR   0.7    8  0.25 | 522105760962867456.0 -647829874485569152.0   2883  87.9% 70.9%  4.5%    1/3    3/3   0.255 | 1/3 p=0.26
    80    atr 5.0×ATR   0.7    8  0.25 | -197757419723653888.0 -1454861157332633344.0   2188  92.5% 73.8%  4.1%    3/3    1/3   0.550 | 3/1 p=0.55
    80    atr 2.0×ATR   0.7   10  0.00 | -5946230108039412736.0 -8320221661178170368.0   7743  36.2% 57.2%  7.7%    1/3    0/3   1.000 | 1/0 p=1.00
    80    atr 3.0×ATR   0.7   10  0.00 | -805090037811892480.0 -2526765716776632832.0   4029  64.5% 61.5%  6.1%    2/3    1/3   0.775 | 2/1 p=0.78
    80    atr 4.0×ATR   0.7   10  0.00 | 1470845902549103360.0 220719264934715520.0   2695  81.3% 67.3%  5.2%    2/3    2/3   0.055 | 2/2 p=0.06
    80    atr 5.0×ATR   0.7   10  0.00 | 437637197367519296.0 -903172533347300352.0   2029  89.6% 70.6%  4.7%    3/3    3/3   0.250 | 3/3 p=0.25
    80    atr 2.0×ATR   0.7   10  0.15 | -1931530923163856128.0 -4121347488232530432.0   7314  57.8% 57.2%  7.3%    1/3    0/3   0.940 | 1/0 p=0.94
    80    atr 3.0×ATR   0.7   10  0.15 | -452042967698022528.0 -2142098838066497792.0   3752  74.3% 61.2%  6.2%    2/3    1/3   0.685 | 2/1 p=0.69
    80    atr 4.0×ATR   0.7   10  0.15 | 355924058543222464.0 -1311645974789744896.0   2603  84.9% 67.1%  5.4%    2/3    1/3   0.375 | 2/1 p=0.38
    80    atr 5.0×ATR   0.7   10  0.15 | -94612497327070944.0 -1380862765447291392.0   2024  91.3% 71.3%  4.1%    3/3    1/3   0.615 | 3/1 p=0.61
    80    atr 2.0×ATR   0.7   10  0.25 | -3286373754516630016.0 -5164092591487776768.0   6829  67.9% 56.7%  7.3%    2/3    0/3   1.000 | 2/0 p=1.00
    80    atr 3.0×ATR   0.7   10  0.25 | -565938227435897920.0 -2273234735017845504.0   3627  79.4% 61.5%  6.1%    2/3    1/3   0.670 | 2/1 p=0.67
    80    atr 4.0×ATR   0.7   10  0.25 | 330738582764795712.0 -645802657975810432.0   2555  87.4% 66.8%  4.8%    2/3    1/3   0.260 | 2/1 p=0.26
    80    atr 5.0×ATR   0.7   10  0.25 | 81621857113280976.0 -1073639783230122112.0   1942  92.5% 70.8%  4.2%    3/3    2/3   0.440 | 3/2 p=0.44
    80    atr 2.0×ATR   1.0    6  0.00 | -3857736741189502976.0 -5756109455306915840.0   6871  34.2% 62.5%  8.8%    0/3    0/3   0.990 | 0/0 p=0.99
    80    atr 3.0×ATR   1.0    6  0.00 | -517361506934641728.0 -1911925333534010624.0   4333  67.4% 71.4%  5.8%    0/3    2/3   0.780 | 0/2 p=0.78
    80    atr 4.0×ATR   1.0    6  0.00 | 45058427451895256.0 -535714833943308416.0   3100  81.6% 76.9%  4.5%    2/3    2/3   0.460 | 2/2 p=0.46
    80    atr 5.0×ATR   1.0    6  0.00 | -111229421902509936.0 -831605641306271104.0   2326  89.1% 79.7%  4.1%    2/3    2/3   0.505 | 2/2 p=0.51
    80    atr 2.0×ATR   1.0    6  0.15 | -3501657863668499968.0 -5695087573130412032.0   6430  59.3% 62.5%  9.0%    3/3    0/3   1.000 | 3/0 p=1.00
    80    atr 3.0×ATR   1.0    6  0.15 | -295411202335161664.0 -1512900654446119936.0   4037  77.0% 71.8%  5.8%    1/3    1/3   0.695 | 1/1 p=0.69
    80    atr 4.0×ATR   1.0    6  0.15 | 339619505141478208.0 -424786721868422976.0   3096  86.3% 77.7%  4.3%    3/3    2/3   0.265 | 3/2 p=0.27
    80    atr 5.0×ATR   1.0    6  0.15 | -527462919696688384.0 -1504330745894714112.0   2187  91.4% 79.7%  4.3%    1/3    1/3   0.840 | 1/1 p=0.84
    80    atr 2.0×ATR   1.0    6  0.25 | -3728658075447977472.0 -6025245578901254144.0   6088  69.5% 62.0%  9.0%    2/3    0/3   0.990 | 2/0 p=0.99
    80    atr 3.0×ATR   1.0    6  0.25 | -614437568316246912.0 -1823818612585255424.0   3968  81.1% 72.2%  5.6%    1/3    1/3   0.750 | 1/1 p=0.75
    80    atr 4.0×ATR   1.0    6  0.25 | 490055820543153152.0 -666082935476745984.0   2888  88.2% 76.8%  4.7%    3/3    1/3   0.250 | 3/1 p=0.25
    80    atr 5.0×ATR   1.0    6  0.25 | -588402461893220352.0 -1428117232581508352.0   2063  92.4% 79.1%  4.7%    2/3    1/3   0.815 | 2/1 p=0.81
    80    atr 2.0×ATR   1.0    8  0.00 | -3060226467133313536.0 -5262704996145714176.0   5882  31.9% 56.8%  9.9%    2/3    0/3   0.980 | 2/0 p=0.98
    80    atr 3.0×ATR   1.0    8  0.00 | -169581115095546688.0 -1506999616050740736.0   3449  65.2% 65.7%  7.4%    2/3    1/3   0.580 | 2/1 p=0.58
    80    atr 4.0×ATR   1.0    8  0.00 | 22563672752592672.0 -582720156454164480.0   2462  81.5% 72.3%  5.2%    3/3    2/3   0.465 | 3/2 p=0.47
    80    atr 5.0×ATR   1.0    8  0.00 | -287599789862266656.0 -952761990540348672.0   1913  89.5% 75.4%  5.0%    2/3    1/3   0.615 | 2/1 p=0.61
    80    atr 2.0×ATR   1.0    8  0.15 | -3928502763789514240.0 -6443591588085713920.0   5499  57.9% 56.4% 10.1%    2/3    1/3   0.990 | 2/1 p=0.99
    80    atr 3.0×ATR   1.0    8  0.15 | 456355490593530560.0 -558276088725216128.0   3277  75.3% 65.0%  7.6%    2/3    3/3   0.220 | 2/3 p=0.22
    80    atr 4.0×ATR   1.0    8  0.15 | -311017699106303808.0 -1356589875986587392.0   2419  85.7% 71.9%  5.3%    3/3    2/3   0.700 | 3/2 p=0.70
    80    atr 5.0×ATR   1.0    8  0.15 | -570281049972051584.0 -1341120961375803136.0   1804  90.9% 75.7%  5.2%    1/3    1/3   0.770 | 1/1 p=0.77
    80    atr 2.0×ATR   1.0    8  0.25 | -2872553980160723456.0 -4887833556654666752.0   5200  68.0% 55.7% 10.5%    0/3    1/3   0.985 | 0/1 p=0.98
    80    atr 3.0×ATR   1.0    8  0.25 | -203653106113055680.0 -1371241033580208128.0   3328  80.2% 66.3%  6.9%    2/3    2/3   0.600 | 2/2 p=0.60
    80    atr 4.0×ATR   1.0    8  0.25 | 431663910337728640.0 -709445732846605440.0   2361  87.8% 71.4%  5.1%    3/3    2/3   0.355 | 3/2 p=0.35
    80    atr 5.0×ATR   1.0    8  0.25 | -638538996467618688.0 -1561381500724367104.0   1733  92.1% 75.7%  5.7%    1/3    1/3   0.875 | 1/1 p=0.88
    80    atr 2.0×ATR   1.0   10  0.00 | -2575699762806610432.0 -4939459663391235072.0   5215  30.8% 52.9% 11.1%    0/3    0/3   0.940 | 0/0 p=0.94
    80    atr 3.0×ATR   1.0   10  0.00 | -678539325498360064.0 -2035569073148273664.0   3029  64.6% 60.3%  8.6%    1/3    1/3   0.780 | 1/1 p=0.78
    80    atr 4.0×ATR   1.0   10  0.00 | -131767251143892992.0 -1141557635277193472.0   2093  81.0% 68.2%  6.0%    2/3    2/3   0.610 | 2/2 p=0.61
    80    atr 5.0×ATR   1.0   10  0.00 | 116693344152495376.0 53766298645206256.0   1617  89.5% 71.5%  5.9%    3/3    3/3   0.000 | 🟢 PASS
    80    atr 2.0×ATR   1.0   10  0.15 | -3659420101782048768.0 -5890412268045080576.0   5017  56.2% 52.4% 10.9%    3/3    1/3   0.985 | 3/1 p=0.98
    80    atr 3.0×ATR   1.0   10  0.15 | -580588200159176448.0 -1706658191603805696.0   2943  74.2% 61.5%  8.0%    2/3    0/3   0.790 | 2/0 p=0.79
    80    atr 4.0×ATR   1.0   10  0.15 | 357533495661554176.0 -726045882687004032.0   2124  85.3% 68.5%  6.5%    3/3    2/3   0.340 | 3/2 p=0.34
    80    atr 5.0×ATR   1.0   10  0.15 | -283882854676471328.0 -994842640417619840.0   1540  91.1% 71.2%  5.6%    2/3    2/3   0.590 | 2/2 p=0.59
    80    atr 2.0×ATR   1.0   10  0.25 | -3801241270828726784.0 -6100666246686690304.0   4741  66.8% 51.5% 11.5%    1/3    0/3   0.995 | 1/0 p=0.99
    80    atr 3.0×ATR   1.0   10  0.25 | -775973650735756416.0 -1853354179531738368.0   2882  79.1% 62.0%  7.7%    1/3    0/3   0.890 | 1/0 p=0.89
    80    atr 4.0×ATR   1.0   10  0.25 | 622062376662540800.0 -619568515136859136.0   2042  87.6% 68.0%  6.2%    3/3    2/3   0.230 | 3/2 p=0.23
    80    atr 5.0×ATR   1.0   10  0.25 | -376092300063061120.0 -1088657832295133568.0   1473  92.1% 70.8%  6.5%    2/3    1/3   0.765 | 2/1 p=0.77


Results saved → /path/to/projects/fx-core/research/experiments/zone_recovery/results/zr_sloped_results.csv

=== PASSING CONFIGS (all gates) ===
   pair  reg_N zw_mode  zw_val  atr_mult  tgt_frac   ta  wick_thresh          ppd           p5   nc  l1_pct  l5p_pct  perm_p
EUR_JPY     30     atr     0.0       5.0       0.5 10.0         0.15 2.320942e+18 1.476778e+17 2006    73.1      4.9   0.030
GBP_USD     30     atr     0.0       5.0       0.5  6.0         0.15 2.030748e+18 7.815387e+17 2283    74.2      4.8   0.000
GBP_USD     30     atr     0.0       5.0       0.5  8.0         0.15 1.821265e+18 6.060078e+17 2045    69.9      4.9   0.015
GBP_USD     80   fixed    30.0       0.0       0.5 10.0         0.25 1.456460e+18 5.035566e+16 1905    73.0      3.0   0.020
GBP_USD     50   fixed    30.0       0.0       0.5  6.0         0.25 1.359210e+18 4.740644e+17 2157    81.9      1.6   0.000
GBP_USD     50   fixed    30.0       0.0       0.5  6.0         0.15 1.315997e+18 4.302732e+17 2340    81.5      1.8   0.000
GBP_USD     80   fixed    30.0       0.0       0.5  6.0         0.25 1.300220e+18 1.198779e+17 2466    81.8      1.9   0.045
GBP_USD     30   fixed    30.0       0.0       0.5  6.0         0.15 9.035213e+17 1.998041e+17 1896    82.1      1.7   0.000
GBP_USD     30     atr     0.0       5.0       0.7  8.0         0.15 7.457436e+17 1.231134e+17 1872    69.7      4.8   0.035
EUR_USD     50     atr     0.0       3.0       0.5 10.0         0.15 7.002593e+17 3.614555e+16 2124    67.4      2.9   0.015
EUR_USD     50     atr     0.0       3.0       0.5  6.0         0.15 6.967483e+17 2.959994e+16 2526    71.7      2.4   0.010
EUR_USD     30     atr     0.0       5.0       0.5 10.0         0.00 5.546868e+17 1.880417e+16 1943    69.4      2.8   0.000
EUR_USD     30     atr     0.0       3.0       0.7  6.0         0.25 5.460845e+17 2.412358e+17 4211    68.2      3.6   0.000
EUR_USD     50     atr     0.0       5.0       0.5  6.0         0.00 5.303513e+17 2.080914e+16 2907    76.2      1.8   0.000
EUR_USD     50     atr     0.0       4.0       0.5  6.0         0.25 5.234040e+17 1.918486e+17 3532    73.4      2.2   0.000
EUR_USD     30     atr     0.0       5.0       0.5  6.0         0.00 4.869417e+17 1.544184e+16 2404    75.5      2.1   0.000
EUR_USD     50     atr     0.0       4.0       0.5  6.0         0.15 4.850786e+17 1.768528e+17 3729    73.7      2.1   0.000
EUR_USD     30     atr     0.0       5.0       0.5 10.0         0.15 4.844579e+17 1.518929e+16 1772    70.1      2.4   0.000
EUR_USD     30     atr     0.0       5.0       0.5  6.0         0.25 4.838762e+17 1.568525e+16 1959    74.5      1.9   0.005
EUR_USD     30     atr     0.0       5.0       0.5  8.0         0.00 4.836806e+17 1.178375e+16 2074    71.0      2.6   0.000
EUR_USD     30     atr     0.0       5.0       0.5  8.0         0.25 4.831341e+17 1.501722e+16 1780    70.8      2.1   0.000
EUR_USD     30     atr     0.0       5.0       0.5 10.0         0.25 4.826776e+17 1.813326e+16 1640    69.5      2.3   0.000
EUR_USD     30     atr     0.0       5.0       0.5  6.0         0.15 4.823584e+17 1.565953e+16 2183    75.1      2.0   0.000
EUR_USD     30     atr     0.0       5.0       0.5  8.0         0.15 4.800937e+17 1.372168e+16 1945    71.3      2.2   0.000
EUR_USD     30     atr     0.0       3.0       0.5 10.0         0.00 4.728233e+17 1.134072e+17 2260    67.5      2.7   0.000
EUR_USD     50     atr     0.0       5.0       0.5  8.0         0.25 4.595947e+17 1.292480e+16 2176    71.3      2.0   0.005
EUR_USD     50     atr     0.0       5.0       0.5 10.0         0.25 4.541975e+17 5.368710e+15 2014    70.1      2.1   0.045
EUR_USD     50     atr     0.0       5.0       0.5  8.0         0.15 4.493824e+17 4.943644e+15 2305    71.7      2.0   0.005
EUR_USD     20     atr     0.0       4.0       0.7  8.0         0.00 4.458355e+17 2.602452e+16 2211    66.8      4.1   0.000
EUR_USD     20     atr     0.0       4.0       0.7 10.0         0.00 4.382990e+17 1.717998e+16 2050    64.1      4.3   0.000
EUR_USD     50     atr     0.0       4.0       0.7  6.0         0.25 3.928263e+17 1.197098e+16 2893    73.1      2.7   0.000
EUR_USD     50     atr     0.0       4.0       0.7  6.0         0.15 3.828165e+17 1.072376e+16 3038    73.7      2.8   0.000
EUR_USD     20     atr     0.0       4.0       0.7  8.0         0.15 3.608787e+17 2.415401e+16 2137    67.3      3.2   0.000
EUR_USD     20     atr     0.0       4.0       0.7  8.0         0.25 3.580045e+17 2.098370e+16 1991    66.1      3.7   0.000
EUR_USD     20     atr     0.0       4.0       0.5  6.0         0.25 3.561486e+17 7.791951e+16 2487    71.1      2.7   0.035
EUR_USD     20     atr     0.0       4.0       0.7 10.0         0.15 3.522591e+17 1.649427e+16 1981    65.0      3.4   0.000
EUR_USD     20     atr     0.0       4.0       0.7 10.0         0.25 3.427617e+17 8.876638e+15 1852    64.1      3.8   0.005
EUR_USD     20     atr     0.0       3.0       0.7 10.0         0.25 2.967805e+17 3.576610e+16 3127    61.7      4.7   0.020
EUR_JPY     30     atr     0.0       5.0       1.0  6.0         0.25 2.730688e+17 1.141325e+16 1283    85.3      2.7   0.025
EUR_USD     50     atr     0.0       5.0       0.7  8.0         0.00 2.234179e+17 2.020946e+15 2017    72.6      2.5   0.000
EUR_USD     20     atr     0.0       5.0       0.7  8.0         0.00 2.161799e+17 2.016484e+16 1303    67.5      4.5   0.015
EUR_USD     20     atr     0.0       5.0       0.7 10.0         0.00 2.156085e+17 1.474338e+16 1191    65.1      4.7   0.010
EUR_USD     30     atr     0.0       5.0       0.7  8.0         0.00 2.018715e+17 3.470894e+15 1591    68.7      3.5   0.000
EUR_USD     20     atr     0.0       5.0       0.7  6.0         0.00 2.003019e+17 6.205265e+15 1499    73.6      3.2   0.020
EUR_USD     30     atr     0.0       5.0       0.7  6.0         0.00 1.743136e+17 4.021768e+15 1983    74.8      2.5   0.000
EUR_USD     80     atr     0.0       5.0       0.7 10.0         0.00 1.671190e+17 2.303683e+15 1737    70.4      3.5   0.005
EUR_USD     50     atr     0.0       5.0       0.7 10.0         0.00 1.662132e+17 1.621980e+15 1707    69.1      3.3   0.000
EUR_USD     30     atr     0.0       4.0       1.0  6.0         0.15 1.567141e+17 1.999948e+15 2246    72.2      4.8   0.005
EUR_USD     30     atr     0.0       3.0       0.5  8.0         0.00 1.531272e+17 3.264555e+16 2447    69.6      2.4   0.000
GBP_USD     80     atr     0.0       5.0       1.0 10.0         0.00 1.166933e+17 5.376630e+16 1617    71.5      5.9   0.000
EUR_USD     30     atr     0.0       4.0       1.0 10.0         0.15 1.074480e+17 1.147218e+07 1562    64.8      6.3   0.005
EUR_USD     50     atr     0.0       3.0       0.7 10.0         0.25 9.656470e+16 3.667314e+16 3388    61.5      4.9   0.000
EUR_USD     50     atr     0.0       4.0       0.7 10.0         0.15 9.572343e+16 8.761785e+15 2343    65.3      3.8   0.000
EUR_USD     80     atr     0.0       4.0       0.7  8.0         0.25 8.614661e+16 2.011973e+16 2595    68.9      3.6   0.000
EUR_USD     20     atr     0.0       3.0       1.0  8.0         0.25 7.637579e+16 1.317761e+16 2629    62.6      6.1   0.000
