JIT compiled.

======================================================================
PAIR: EUR_USD  ZW=30.0p TGT=21.0p ta=10.0 td=1.0  OOS=409d
body_thr wick_thr  mom |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
     0.6     0.00    3 |   8618.5   2101.6   3642  53.9% 83.6%  2.0%    1/3    3/3   0.000 | 1/3 p=0.00
     0.6     0.00    5 |   5447.6 -17352.0   3755  39.9% 83.8%  2.1%    1/3    2/3   0.240 | 1/2 p=0.24
     0.6     0.10    0 |   9855.9   1136.3   3762  44.4% 83.8%  2.0%    0/3    3/3   0.000 | 0/3 p=0.00
     0.6     0.10    2 |   9695.5   2878.3   3367  68.6% 83.2%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.6     0.10    3 |   8249.5   1642.7   3537  60.5% 83.5%  2.0%    1/3    3/3   0.000 | 1/3 p=0.00
     0.6     0.10    5 |  -4397.3 -15588.7   3652  49.5% 83.4%  2.0%    1/3    2/3   0.570 | 1/2 p=0.57
     0.6     0.20    0 |   5631.2   1023.6   3639  52.7% 83.9%  2.2%    0/3    3/3   0.000 | 0/3 p=0.00
     0.6     0.20    2 |   9868.1   3298.0   3183  72.5% 82.6%  2.4%    2/3    3/3   0.000 | 2/3 p=0.00
     0.6     0.20    3 |   4043.1   1160.6   3434  65.8% 83.7%  2.2%    1/3    3/3   0.000 | 1/3 p=0.00
     0.6     0.20    5 |   1282.3    823.8   3531  56.7% 83.3%  2.1%    1/3    3/3   0.000 | 1/3 p=0.00
     0.6     0.30    0 |  -4394.0 -15735.4   3591  63.0% 84.3%  1.8%    0/3    2/3   0.475 | 0/2 p=0.47
     0.6     0.30    2 |   6455.1   1017.3   3075  77.3% 82.3%  2.3%    1/3    3/3   0.000 | 1/3 p=0.00
     0.6     0.30    3 |   2627.1   1110.4   3428  72.2% 84.3%  1.8%    1/3    3/3   0.000 | 1/3 p=0.00
     0.6     0.30    5 |  -4368.8 -15496.2   3395  66.6% 83.5%  2.0%    0/3    2/3   0.550 | 0/2 p=0.55
     0.7     0.00    0 |  -5763.6 -25966.8   3945  28.1% 84.8%  1.9%    3/3    2/3   0.505 | 3/2 p=0.51
     0.7     0.00    2 |   3490.7   1390.8   3458  60.1% 83.0%  2.3%    2/3    3/3   0.000 | 2/3 p=0.00
     0.7     0.00    3 |   4252.5   1596.3   3734  48.6% 83.8%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.7     0.00    5 |   5628.0 -16907.1   3781  33.1% 84.3%  1.9%    3/3    2/3   0.255 | 3/2 p=0.26
     0.7     0.10    0 |   6368.8   1354.5   3830  38.8% 84.1%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.7     0.10    2 |   2990.7   1149.9   3319  65.4% 82.5%  2.3%    2/3    3/3   0.000 | 2/3 p=0.00
     0.7     0.10    3 |  11552.8   1793.6   3555  56.1% 83.4%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.7     0.10    5 |   5734.4   1256.9   3748  43.3% 83.9%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
     0.7     0.20    0 |   5562.5   1026.8   3677  48.4% 84.1%  2.0%    0/3    3/3   0.000 | 0/3 p=0.00
     0.7     0.20    2 |   8618.1   2519.5   3255  70.3% 83.0%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.7     0.20    3 |  10139.9   1293.2   3415  63.2% 83.6%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.7     0.20    5 |   5536.9    974.1   3591  52.6% 83.8%  1.9%    1/3    3/3   0.000 | 1/3 p=0.00
     0.7     0.30    0 |   1124.0    711.4   3601  61.3% 84.4%  1.7%    0/3    3/3   0.000 | 0/3 p=0.00
     0.7     0.30    2 |   5046.4    558.9   3141  76.4% 82.6%  2.0%    1/3    3/3   0.000 | 1/3 p=0.00
     0.7     0.30    3 |   1022.5    739.1   3525  70.9% 84.7%  1.5%    1/3    3/3   0.000 | 1/3 p=0.00
     0.7     0.30    5 |   1101.9    795.1   3495  64.2% 83.9%  1.7%    0/3    3/3   0.000 | 0/3 p=0.00


Results saved → /path/to/projects/fx-core/research/experiments/zone_recovery/results/zr_absorption_results.csv

=== TOP PASSING CONFIGS PER PAIR (gate=PASS, sorted by p/d) ===

EUR_USD — 57 passing configs:
 body_thresh  wick_thresh  mom_bars    ppd    p5   nc  skip_pct  l1_pct  l5p_pct  perm_p
         0.5          0.0         3 2120.7 532.8 1765      58.3    74.8      3.1     0.0
         0.6          0.0         2 2062.9 518.3 1738      63.1    75.8      2.6     0.0
         0.5          0.2         0 1950.3 687.3 1779      58.7    75.3      2.3     0.0
         0.6          0.0         3 1685.9 368.9 1755      55.2    74.8      3.2     0.0
         0.0          0.1         3 1674.1 766.4 1720      50.8    74.6      3.0     0.0
         0.0          0.0         0 1608.1 906.5 1862       0.0    74.7      3.1     0.0
         0.5          0.2         5 1598.0 511.3 1720      62.9    74.7      1.9     0.0
         0.7          0.3         0 1590.1 721.2 1699      61.9    74.0      2.9     0.0
         0.0          0.3         0 1590.1 657.1 1699      61.9    74.0      2.9     0.0
         0.0          0.0         3 1578.7 695.8 1768      36.7    74.9      3.0     0.0

EUR_JPY — 25 passing configs:
 body_thresh  wick_thresh  mom_bars    ppd     p5   nc  skip_pct  l1_pct  l5p_pct  perm_p
         0.5          0.1         0 5524.4  926.3 5421      46.8    90.0      0.7     0.0
         0.5          0.0         0 5522.6 1036.5 5535      38.7    90.1      0.8     0.0
         0.5          0.0         5 5443.6  916.1 5439      42.8    89.7      0.8     0.0
         0.0          0.1         5 3844.3 1901.0 5481      28.6    89.8      0.9     0.0
         0.0          0.1         0 3782.3 1706.1 5661      24.3    90.1      1.0     0.0
         0.0          0.0         5 3762.4 1468.8 5521       5.5    89.6      0.9     0.0
         0.0          0.0         0 3732.5 1618.8 5651       0.0    89.8      0.9     0.0
         0.0          0.1         2 3218.6  898.6 3849      56.0    89.8      0.7     0.0
         0.7          0.1         0 1895.7  928.7 5635      34.9    90.3      0.9     0.0
         0.4          0.1         3 1637.6 1026.8 3571      63.9    89.1      0.9     0.0

GBP_USD — 3 passing configs:
 body_thresh  wick_thresh  mom_bars    ppd     p5   nc  skip_pct  l1_pct  l5p_pct  perm_p
         0.5          0.0         0 7318.7 1739.1 3737      41.1    83.8      2.0     0.0
         0.5          0.0         5 6405.5 1236.0 3639      46.3    83.7      2.0     0.0
         0.5          0.0         3 2796.7 1148.6 3497      59.4    83.3      2.0     0.0

Baseline (no filter): EUR_USD p/d=1442, P5=688, nc=484, 5+%=3.5
